name,stage,mattermark_score,employees,website_uniques,total_funding,business_models
Buddy Media,exited (acquired),-297,0,17632,90000000,B2B
Mobivox,exited (acquired),-1,1,1723,11000000,B2B
Grouply,exited (acquired),0,1,9,2240000,B2C
Sermo,exited (acquired),1,40,249639,41000000,B2B
PlaySpan,exited (acquired),0,25,1867,46300000,B2B
3Jam,exited (acquired),0,2,1425,4000000,B2B
EMC,exited (acquired),121,61162,1450209,0,B2B
SueEasy,pre series a,0,0,188,135000,B2B
Sermo,exited (acquired),2,40,249639,41000000,B2B
Get Satisfaction,b,-4,22,1014440,20850000,B2B
RingCentral,exited (ipo),256,2491,1714770,44000000,B2B
Zillow,exited (ipo),11,1411,24617874,96627980,B2C
Vringo,exited (ipo),0,79,2,33632000,B2B
Moko Social Media,exited (ipo),0,50,2592,8058600,B2B
TheStreet,exited (ipo),2,344,4187709,3100000,B2C
Babylon,exited (ipo),2,313,5222277,0,B2B
RingCentral,exited (ipo),608,2491,1714770,44000000,B2B
Zillow,exited (ipo),-306,1411,24617874,96627980,B2C
Robinhood,late,32,424,402556,539000000,B2C
Coinbase,exited (acquired),-24,823,1854945,217209590,B2C
Uber,exited (acquired),-245,57561,6638831,21157450000,B2C
